留言时间,评分,回复数,点赞数,图片数,评论内容
2022-01-30 22:32:11,5,3,5,8,精挑细选很久?，最后决定买这一款?，春节居家小零食，吃着方便，到货后果然没有让我失望，包装很漂亮?，用料精细?，特别满意?
2021-09-23 12:02:46,5,38,17,4,哦口感很好吃，干湿分离，里面的干果很脆，益生菌的，酸酸甜甜的，小孩子也喜欢吃。蔓越莓干，和蓝莓干都好吃，包装很好，物流很快，快递公司送货上门。棒棒哒！
2022-02-03 14:34:39,5,1,1,8,三只松鼠是专门做各种零食、干果的，性价比超群，每日坚果系列对比过好多家品牌的，还是买了这款，包装是养眼的绿色，一只可爱的松鼠??牛顿特写让人过目不忘。\n箱子还有个提手，拿着也方便。\n里面一共有30小袋，每袋都是独立分装，干果和果肉分开锁鲜，该脆的脆，该软的软。\n6种坚果(巴旦木仁、开心果仁、榛子仁、夏威夷果仁、核桃仁、腰果仁)，3种果干(黑加仑葡萄干、蔓越莓干、蓝莓干)，种类丰富，营养全面。\n保质期很长，有6个月之久，一天一袋，很快就能出完。
2019-12-28 10:24:32,5,56,60,8,三只松鼠品牌是国内制造高精尖的标志和象征，是干果行业的排头兵和领军者，也是亿万国民心目中当之无愧的佼佼者和翘楚。专注干果制造业多年，凭借优秀的品质，公道合理的价格，赢得了国民的一致好评和喜爱。我买过他家的很多干果，每一个系列都很出色。这款每日坚果大礼包一如既往地秉承了他的高端大气上档次。首先包装完好无损，采用专业硬纸盒包装，确保了产品在长途运输中也能安然无恙。外包装颜色是绿色，给人一种清新脱俗，自然纯净的感觉，彰显着品牌的健康自然活力，让人眼前一亮。其次品质过硬。用6:3坚果干果搭配。9种元素科学搭配，营养丰富。坚果搭配有巴旦木仁，开心果仁，腰果仁，开心果仁，榛子仁等等。干果搭配主要有蓝莓干，蔓越莓干等等。每一粒坚果干果都是精挑细选，品质让人放心。与其他品牌的坚果不同，三只松鼠坚果采用的是坚果和干果分区锁鲜的特包装技术。每一包中间都将坚果和干果分开。锁住了鲜，脆，软。调和香，酸，甜。每天一包营养又美味，健康又安全，让人一整天都元气满满。
2021-11-07 12:56:57,5,6,15,4,很好的干果首选，干湿分离，没有特殊的味道，早餐小点，一家人都可以吃，小朋友吃的很欢。就剩最后两小包了，准备再入手，趁着双十一有活动，爱了爱了，京东送货很给力。
2020-05-16 19:01:35,5,12,33,8,大名鼎鼎的三只松鼠品牌是中国家喻户晓的驰名品牌，干果行业标准化现代化销售的推动者。创立多年以来，凭借优秀的品质和公道合理的价格屹立不倒，是行业的领先者和佼佼者。我买过他家的兰花豆，松子等许多种干果，都很满意。这次购买的这款每日坚果也是回购无数次了，一如既往的传承了三只松鼠的优秀品质。首先包装完好无损，独具一格的分区包装有效锁住了产品的鲜，脆，软。外包装采用精美礼盒包装，抗压抗摔而且环保。每一袋都采用干果和坚果分区锁鲜保鲜的独特包装技术，将干果和坚果分开，有效防潮防异味儿，安全卫生，而且便于携带。产品外包装的主打色是绿色，清新淡雅，让人眼前一亮，记忆深刻，与产品新鲜美味的贴合度很高。其次品质卓越。每一颗坚果和干果都是历经精挑细选，品质过硬。采用6:3坚果干果搭配，9种元素科学搭配，营养美味。干果搭配有蓝莓干，蔓越莓干等，坚果搭配有巴旦木，腰果，开心果仁，核桃仁等，每天一袋，美味营养，元气满满！可以当做早餐，下午茶，我们全家都很喜欢！推荐给大家！
2021-11-01 14:51:47,5,3,5,4,大品牌，回购，分两个区域，利于满足不同口味的亲朋好友食用，坚果很饱满，味道纯正。\n此外，物美价廉，包装精美，是自食和馈赠好友的佳品。
2019-11-12 09:37:16,5,8,17,8,三只松鼠的零食经常买，但是这种每日坚果还真是第一次买，非常满意呀，还会回购！\n1．包装惊喜！外包装很贴心的告知开启方式，打开后就看到＂每天一包，元气满满．．．＂。30只小包装，侧面缺口使包装轻松开启，里面是隔开的中缝设计分区锁鲜，简直太棒了。\n2．口味毋庸置疑，一如既往的好，酸酸的甜甜的蓝莓蔓越梅葡萄干搭配巴旦木仁、开心果仁、榛子仁、夏威夷果仁、黏膜核桃仁和腰果仁，营养丰富！\n3．生产日期：2019年9月26日，保质期6个月。
2020-08-01 17:38:20,5,3,18,9,坚果很不错，每个独立包装，每次方便，想吃的时候可以随时取一包。干湿分离，很科学的包装。分量很足，爆满的很。第一次买这一大箱坚果，值得买！非常美味! 收到以后尝了一包之后，马上下单又买了一箱! 首先干湿分离的设计很方便，如果不喜欢混合果干和坚果，可以分开单独吃。然后坚果种类丰富，并且每一颗都新鲜美味。果干也很软很可口。希望经常有活动，还会再来买的!双十一活动时买的，价格非常合适，物流给力次日达。质量很好，坚果很多，坚果占比比较高，贵是有贵的道理的，不想以前买的便宜的，大多是一些果仁枣干花生豆之类的配在里面，没有这个有营养。包装是干湿分开的，放时间长了果仁吃起来的不会潮，水果干也不错，好评！朋友推荐的，太方便了，包装设计简洁大方，干湿分离，锁住水分，保障了干果的松脆，确实很方便。京东物流也超级棒，当天早上下单就能当天送达。很大一袋，每个袋子中间有分割粘条，坚果和果干各占一边，这样的心思超级巧妙了，即规划出一天的量，也避免坚果，果干混至一起影响口感！打开了一看，认识的有蔓越莓，蓝莓，葡萄干，圣女果干，核桃，杏仁，腰果，开心果，大榛子仁，很全面的营养！老人孩子还有我自都很爱吃！
2019-10-28 22:13:11,5,2,11,8,下午收到了，本来昨天就能拿到，放在驿站今天才拿的，回来给媳妇拆了一包，味道超级好吃的，三只松鼠品牌的真好吃。之前买过其他的味道一般，颗粒也小。三只松鼠的颗粒很大好吃的哼！赞！
2020-08-10 19:48:44,5,2,13,6,不同品种的坚果和果干搭配在一起，每天一小包，可以补充各种营养，食用起来也非常方便，感觉很健康，也不会食用过量，小包装携带又很方便。坚果都保持着其最原始的味道，没有串味，无论是杏仁还是腰果粒粒饱满大颗，吃口香脆，没有一点油耗味。果仁方面，又大又新鲜，品质上乘。生产日期很新鲜。值得推荐购买！
2020-04-22 21:35:48,5,1,18,8,口感：口感特别棒适合各个年龄段的人，里面好几种干果巴达木呀开心果臻子仁还有核桃仁啊还有好几种果干比如蔓越莓蓝莓等，看说明书撕开后，把中间横档也撕开让各种味道混在一起，吃起来太棒了\n产品包装：包装特别经典也特别上档次，我每次都给媳妇买这款\n分量：分量还可以每天一袋太多了估计就腻了
2021-10-02 18:57:58,5,0,9,3,打开一盒冰岛风味酸奶，再搭配这个益生菌的坚果，酸奶的丝滑，再加上坚果的香脆，每一口都是满足。\n坚果上面有一层白色的像糖霜一样的东西，应该就是益生菌了，坚果是甜中带咸，咸中有甜，口感非常好，而且很有饱腹感，绝对是想要减肥的女孩子最理想的夜宵了。\n干湿分离的包装，萌萌的卡通图案，吃完后心情就变好了- ??(?????)
2021-10-26 17:04:53,5,0,1,3,现在都需要补充营养，在网上看了很久，每日坚果，同时在超市也看了很多，价格都很高，在这里搞活动价格很便宜，性价比特别高，试吃了一带，感觉很高，肯定会回购的！！！
2022-01-01 09:28:03,5,0,1,6,一直是三只松鼠的忠实客户，之前就买过三只松鼠的每日坚果混合装，这次他们出了新产品，又立马下手了。这种混合装的既能补充蛋白质又能补充维生素。而且又避免了吃坚果太多的油导致的油腻感，以及吃带甜味的坚果，带来的酸或甜腻感。混合装的，吃起来特别的好吃，而且是越嚼越香。作为一个经常熬夜加班的人，不带任何添加剂的坚果补充营养是最好的必需品。
2019-11-24 11:19:39,5,1,14,7,每日坚果，营养丰富，主要好吃，居家、办公、户外游玩必备好零食，又健康。有对比其它牌子，口感还是比较喜欢三只松鼠牌的，价格也便宜。独立包装一小袋一小袋的，干湿果有分装，挺方便携带，日期新鲜，坚果都很酥脆，美味，蓝莓干、蔓越莓干等湿果也很甜糯好吃，老少都喜吹，我主要买给读书的孩子带去学校日常生活营养补充，挺合适的。
2019-11-11 07:40:12,3,1,0,4,东西收到了，，感觉还行吧
2020-11-15 23:27:16,5,0,3,8,一直都吃的三只松鼠的坚果，这次的每日坚果还是一样的好吃 。跟过去吃的每日坚果不一样的是，这是干湿分离的将果干和坚果分开放，保证坚果口感的酥脆，这样包装确实更加科学。坚果数量还是比较多的，里面有腰果，开心果，核桃，夏威夷果，蔓越莓干等等，娃一天吃一包，补充足够的矿物质。满满的一大箱30包，是9月21号的生产日期，非常新鲜，够吃一个月了。
2021-11-08 15:56:53,5,1,0,5,三只松鼠每日坚果 750g/30袋 混合干果腰果夏威夷果核桃仁开心果，大品牌，值得信赖。味道不错，独立包装，干净放心，携带方便，随时补充营养，设计很特别，中间有小隔层，把干果和果干分隔开，即可单独吃，也可以撕开混合一起吃，多种选择，干果很新鲜，脆脆的，没有放久的那种味道。果干也很干净，没有牙碜感，品种多，很喜欢。京东超棒的送货速度，赞一个。
2020-10-09 07:21:16,5,3,29,7,试过集中坚果类产品，三只松鼠算是中上等级的，非常不错的一款产品，坚果非常的香，葡萄干这些月很不错了！赞一个！非常的棒！加油！
2021-11-26 17:03:03,5,0,2,6,口感：口感极佳，原味保留的很好，买过很多次了，没有遇到过有异味的情况，安全放心！\n产品包装：外包装扎实，小袋包装精美，取用方便，设计合理用心，干果和坚果隔离开的，互不干扰味道，撕开隔离条，两种混合，口感更佳\n分量：份量适宜，一人量
2020-11-04 18:06:35,5,0,5,6,口感：干果非常的脆，水果干非常的甜。品种也非常的多样化。\n产品包装：干果和湿果分离包装，这样保证了干果的脆度非常的好。\n分量：独立一小包装每天一袋，非常的适合。
2020-06-06 09:18:21,5,0,7,6,京东小哥送货速度快，服务态度好，三只松鼠每日坚果包装严实，满满的一箱，小包装设计非常棒，干湿分离，把中间拉开还可以混在一起吃，创意满分，坚果日期新鲜，脆、香、甜，品种齐全，口感非常不错，家人都喜欢吃，价格实惠，吃完再来，全五星好评，赞！
2019-12-01 12:49:04,5,1,2,8,"三只松鼠每日坚果已收到，在京东搞活动立马下单,送货速度快，上午下单，下午送达，收到立马打开，味道很好，非常好吃,价格不贵，非常实惠,相信京东越做越好，生意红红火火，辛苦了快递小哥，感谢提供优质的服务."
2020-11-19 13:10:13,5,1,5,9,孩子同学妈妈给他吃过一袋每日坚果，回来就要吃，上京东搜索每日坚果，果断选择了这款三只松鼠的每日坚果：首先三只松鼠品牌口碑不错，家里也常吃他家的坚果零食等，并且它明确说明不添加香精和色素，所以放心给孩子吃；其次750g礼盒装，30小袋包装，量大更划算。收到确实是满意，手提礼盒很大气，易开口设计开箱便捷易拿取。一袋里面有开心果、腰果仁、巴旦木、榛果仁、核桃仁、夏威夷果六种坚果和黑葡萄干、蔓越莓干和蓝莓干三种果干。一天一袋营养和美味都到位了。小袋包装干湿分离设计很用心，这样保证了坚果的酥脆，果干的水分把控的也很好，不是很干瘪的那种也会不粘牙。吃的时候把中间分开，摇一摇，坚果的原香加上果干的酸甜，一口都能吃到，太满足了，真的好吃，家里人都喜欢吃。哈哈！吃掉半箱了，没有一颗坏果。日期也新鲜。直接吃，裹面包什么的，放酸奶里吃随你意，都非常赞！
2022-01-15 23:29:00,5,0,0,6,过节必备的零食，大牌子?心仪已久，果断下手，是正品，收到就开始吃了，味道很不错，2021年10月生产的，快递也很给力，果然名副其实?
2019-12-16 19:50:00,5,0,3,6,每天早上牛奶，每日坚果，2个鸡蛋，麦片，营养真的够了，也很方便。我一般都是闹钟起床，然后洗手，锅里加水加热牛奶，烧开水，水开后打入鸡蛋，水滚后关火盖锅盖子，然后洗脸刷牙。7点半左右混合这四样东西，就餐，然后上班，方便、快捷、营养、美味。三个松鼠是互联网品牌，现在发展的很厉害，我买了一大堆坚果，芒果干果脯之类的，平时看电视边看边吃零食，185，75公斤，吃不胖，就是这么骄傲！
2020-08-23 12:39:49,5,2,17,6,三只松鼠每日坚果大礼包，总共是750克，内含30个小包，每个小包里面的果肉饱满，非常的酥脆可口，每天吃一包，一共可以吃30天，一共含有6种坚果，三种果干，分别是巴旦木人，开心果仁，甄子仁，夏威夷果仁，核桃仁，腰果仁果干，有黑加仑葡萄干，蔓越莓干，蓝莓干，种类齐全。
2022-01-15 13:38:20,5,0,0,3,物流很快，包装很好，箱子没有破损，日期很新，坚果，果干分开装，很好，营养丰富，外出携带方便，物美价廉，坚果十分酥脆，分量合适，适合一次的量，很满意！
